route,viewport,status,title,evidence,root_overflow,page_overflow,error,repro_url
#/home,desktop-1280x720,PASS,首页,SQLite 正常；真实 dashboard 统计,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-home#/home
#/home,mobile-320x844,PASS,首页,SQLite 正常；真实 dashboard 统计,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-home#/home
#/home,mobile-375x844,PASS,首页,SQLite 正常；真实 dashboard 统计,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-home#/home
#/home,mobile-390x844,PASS,首页,SQLite 正常；真实 dashboard 统计,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-home#/home
#/home,mobile-414x844,PASS,首页,SQLite 正常；真实 dashboard 统计,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-home#/home
#/knowledge/config,desktop-1280x720,PASS,数据配置,真实知识库与向量后端状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-knowledge/config#/knowledge/config
#/knowledge/config,mobile-320x844,PASS,数据配置,真实知识库与向量后端状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-knowledge/config#/knowledge/config
#/knowledge/config,mobile-375x844,PASS,数据配置,真实知识库与向量后端状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-375x844-knowledge/config#/knowledge/config
#/knowledge/config,mobile-390x844,PASS,数据配置,真实知识库与向量后端状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-390x844-knowledge/config#/knowledge/config
#/knowledge/config,mobile-414x844,PASS,数据配置,真实知识库与向量后端状态,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-414x844-knowledge/config#/knowledge/config
#/knowledge/datasets,desktop-1280x720,PASS,数据集,数据集列表、发布状态、目录树,false,false,false,http://127.0.0.1:8790/?acceptance=repro-desktop-1280x720-knowledge/datasets#/knowledge/datasets
#/knowledge/datasets,mobile-320x844,PASS,数据集,数据集列表、发布状态、目录树,false,false,false,http://127.0.0.1:8790/?acceptance=repro-mobile-320x844-knowledge/datasets#/knowledge/datasets
